ItemID,ItemName,RestaurantName,Price,Description
I001,Kung Pao Chicken,Golden Dragon,14.9385,Spicy stir fried chicken with peanuts and chili
I002,Beef Tacos,El Toro Loco,10.913499999999999,Soft tortillas filled with seasoned beef and salsa
I003,Pad Thai,Spice Route,13.788499999999999,Classic rice noodle dish with tofu and peanuts
I004,Greek Salad,The Greek Table,10.3385,Fresh salad with feta olives and olive oil
I005,Margherita Pizza,Bella Vita,15.513499999999999,Wood fired pizza with tomato sauce and mozzarella
I006,Sweet and Sour Pork,Dragon Wok,12.638499999999999,Crispy pork in tangy sweet and sour sauce
I007,Chicken Shawarma,La Casa De Tapas,14.363499999999998,Grilled chicken wrapped with garlic sauce
I008,Chicken Quesadilla,Chili Lime,11.4885,Grilled tortilla stuffed with cheese and chicken
I009,Spaghetti Carbonara,Pasta Palace,14.9385,Classic pasta with eggs cheese and bacon
I010,Green Curry,Phuket Spice,13.2135,Thai curry with coconut milk and vegetables
I011,Spring Rolls,Shanghai Express,8.038499999999999,Crispy rolls filled with vegetables
I012,Enchiladas,La Fiesta,12.638499999999999,Tortillas rolled with chicken and mild chili sauce
I013,Hummus Plate,Olive Grove,9.1885,Mashed chickpeas served with pita bread
I014,Lasagna,Trattoria Roma,16.0885,Layered pasta with meat sauce and cheese
I015,Basil Fried Rice,Lotus Leaf,12.0635,Thai style fried rice with basil and egg
